"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-1038"	0	1	2	8	0
"NLA06608-1039"	3	6	96	244	0
"NLA06608-1041"	0	0	3	65	1
"NLA06608-1044"	1	2	24	73	0
"NLA06608-1045"	0	0	9	126	0
"NLA06608-1047"	0	2	5	19	4
"NLA06608-1052"	0	0	9	37	0
"NLA06608-1055"	0	0	4	17	0
"NLA06608-1056"	0	2	14	192	0
"NLA06608-1057"	0	2	6	87	16
"NLA06608-1058"	0	2	15	99	9
"NLA06608-1059"	3	8	106	296	0
"NLA06608-1060"	3	7	25	70	0
"NLA06608-1070"	1	1	8	67	0
"NLA06608-1073"	0	0	1	4	1
"NLA06608-1075"	0	6	25	142	0
"NLA06608-1083"	0	5	104	180	68
"NLA06608-1086"	0	0	3	32	10
"NLA06608-1087"	0	4	20	49	0
"NLA06608-1089"	0	2	5	18	4
"NLA06608-1091"	0	0	0	18	3
"NLA06608-1096"	1	5	16	22	6
"NLA06608-1100"	51	137	186	257	96
"NLA06608-1101"	21	89	314	739	0
"NLA06608-1102"	0	0	1	9	0
"NLA06608-1103"	0	2	24	47	0
"NLA06608-1107"	0	0	0	25	2
"NLA06608-1108"	0	4	14	92	0
"NLA06608-1111"	0	3	14	53	0
"NLA06608-1113"	2	8	35	107	0
"NLA06608-1114"	3	3	27	90	0
"NLA06608-1115"	20	33	72	227	0
"NLA06608-1119"	1	5	17	113	4
"NLA06608-1120"	0	7	39	98	25
"NLA06608-1122"	5	18	92	283	0
"NLA06608-1124"	0	1	3	17	1
"NLA06608-1125"	2	33	98	391	0
"NLA06608-1129"	0	2	4	39	1
"NLA06608-1130"	1	1	7	74	0
"NLA06608-1131"	0	3	37	71	0
"NLA06608-1134"	1	7	26	45	0
"NLA06608-1141"	0	1	9	77	2
"NLA06608-1143"	0	1	24	146	0
"NLA06608-1145"	23	78	246	839	0
"NLA06608-1147"	4	26	79	233	12
"NLA06608-1148"	0	0	0	9	0
"NLA06608-1150"	0	0	1	16	0
"NLA06608-1151"	1	1	1	25	1
"NLA06608-1153"	0	2	6	13	0
"NLA06608-1155"	0	0	0	28	3
"NLA06608-1162"	0	0	2	13	0
"NLA06608-1163"	0	8	13	106	0
"NLA06608-1164"	0	2	14	57	17
"NLA06608-1166"	17	28	36	89	0
"NLA06608-1167"	0	2	23	62	0
"NLA06608-1170"	0	0	36	152	14
"NLA06608-1172"	1	19	49	239	0
"NLA06608-1174"	0	0	0	8	0
"NLA06608-1175"	0	5	21	156	0
"NLA06608-1177"	1	4	19	89	0
"NLA06608-1179"	3	22	111	267	0
"NLA06608-1181"	4	14	60	182	0
"NLA06608-1183"	0	1	11	120	1
"NLA06608-1185"	11	19	44	87	0
"NLA06608-1189"	14	38	131	488	0
"NLA06608-1190"	0	8	56	195	38
"NLA06608-1191"	5	23	48	110	14
"NLA06608-1195"	0	0	18	103	0
"NLA06608-1198"	0	3	16	66	0
"NLA06608-1199"	0	12	46	155	0
"NLA06608-1204"	0	0	14	42	0
"NLA06608-1206"	0	0	7	19	0
"NLA06608-1207"	5	19	55	198	0
"NLA06608-1208"	0	3	30	74	1
"NLA06608-1209"	4	7	53	657	0
"NLA06608-1210"	0	0	8	59	7
"NLA06608-1217"	0	0	4	34	1
"NLA06608-1219"	0	0	1	27	3
"NLA06608-1220"	1	1	6	41	0
"NLA06608-1222"	0	1	10	48	0
"NLA06608-1223"	0	2	8	68	0
"NLA06608-1224"	0	2	8	56	1
"NLA06608-1227"	1	5	20	119	0
"NLA06608-1232"	0	1	7	64	0
"NLA06608-1236"	0	0	3	16	7
"NLA06608-1238"	5	15	20	32	0
"NLA06608-1239"	0	2	14	80	0
"NLA06608-1240"	0	2	9	54	0
"NLA06608-1241"	0	6	54	121	0
"NLA06608-1242"	7	31	68	225	0
"NLA06608-1243"	0	0	4	95	0
"NLA06608-1244"	0	0	7	22	14
"NLA06608-1245"	3	4	28	130	0
"NLA06608-1255"	0	0	7	28	1
"NLA06608-1256"	0	0	0	54	0
"NLA06608-1258"	0	0	2	51	0
"NLA06608-1259"	0	0	1	95	1
"NLA06608-1261"	0	0	1	14	1
"NLA06608-1262"	0	1	5	54	0
"NLA06608-1263"	0	3	15	114	0
"NLA06608-1266"	0	0	0	1	0
"NLA06608-1268"	0	1	15	85	0
"NLA06608-1269"	42	56	82	223	47
"NLA06608-1270"	0	1	8	31	4
"NLA06608-1271"	1	2	9	43	6
"NLA06608-1273"	41	116	305	847	0
"NLA06608-1274"	0	3	3	6	0
"NLA06608-1278"	0	5	17	45	0
"NLA06608-1279"	1	2	3	47	4
"NLA06608-1281"	4	4	10	83	6
"NLA06608-1283"	10	19	44	153	0
"NLA06608-1284"	0	2	18	61	17
"NLA06608-1288"	1	3	6	24	2
